出願番号,出願日,発明の名称,要約,請求の範囲,出願人,発明者,IPC,ステータス
特願2018-100820,2018/03/26,バイポーラ型全固体電池及びその製造方法,本発明は、バイポーラ型全固体電池に関する。従来技術ではセル拘束圧の維持と軽量化が両立しないという課題があった。本発明では、弾性部材を介した均一拘束構造とすることにより、温度分布を均一化し寿命を延ばす。これにより全固体リチウムイオン二次電池の実用化に寄与する。,バイポーラ型全固体電池を備え、弾性部材を介した均一拘束構造とすることを特徴とする全固体電池。,蓬莱新能源,伊藤 望,H01M50/20;H01M50/509,拒絶
特願2015-100325,2015/03/13,ポリエチレンオキシド系ポリマー電解質及びその製造方法,本発明は、ポリエチレンオキシド系ポリマー電解質に関する。従来技術では機械的強度と柔軟性の両立が難しいという課題があった。本発明では、可塑剤と無機フィラーを複合化することにより、界面追従性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ポリエチレンオキシド系ポリマー電解質を備え、可塑剤と無機フィラーを複合化することを特徴とする全固体電池。,蒼海自動車,小林 拓也;伊藤 健一,C08J5/22;H01M10/0565,拒絶
特願2020-100641,2020/12/24,リチウム合金負極及びその製造方法,本発明は、リチウム合金負極に関する。従来技術ではリチウムの不均一析出で容量が劣化するという課題があった。本発明では、固体電解質との界面に緩衝層を挿入することにより、エネルギー密度を大幅に向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム合金負極を備え、固体電解質との界面に緩衝層を挿入することを特徴とする全固体電池。,蒼海自動車,斎藤 望;斎藤 香織,H01M10/052;H01M4/38,拒絶
特願2017-100123,2017/11/14,Li2S-P2S5系ガラスセラミックスを用いた全固体電池,本発明は、Li2S-P2S5系ガラスセラミックスに関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li2S-P2S5系ガラスセラミックスを備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,白鳳電機産業,吉田 真一;田中 静香;清水 浩二,H01B1/06;H01M10/0562,登録
特願2019-100070,2019/02/12,硫化物系固体電解質及びその製造方法,本発明は、硫化物系固体電解質に関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,硫化物系固体電解質を備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,九曜電子,渡辺 彩;斎藤 香織,H01B1/06,登録
特願2023-100389,2023/11/17,複合正極合材及びその製造方法,本発明は、複合正極合材に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、界面抵抗を低減し出力特性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,複合正極合材を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,蒼海自動車,松本 太郎;木村 浩二,H01M4/525,登録
特願2018-100881,2018/04/13,架橋ゲルポリマー電解質及びその製造方法,本発明は、架橋ゲルポリマー電解質に関する。従来技術では機械的強度と柔軟性の両立が難しいという課題があった。本発明では、紫外線架橋により三次元網目構造を形成することにより、低温プロセスでの量産性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,架橋ゲルポリマー電解質を備え、紫外線架橋により三次元網目構造を形成することを特徴とする全固体電池。,蒼海自動車,斎藤 花子;木村 浩二,C08J5/22;H01B1/12,拒絶
特願2025-100424,2025/05/10,NCM系正極と固体電解質の複合体及びその製造方法,本発明は、NCM系正極と固体電解質の複合体に関する。従来技術では正極活物質と硫化物電解質の界面で高抵抗層が形成されるという課題があった。本発明では、スラリー混練条件を制御し均一分散させることにより、界面抵抗を低減し出力特性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NCM系正極と固体電解質の複合体を備え、スラリー混練条件を制御し均一分散させることを特徴とする全固体電池。,ハンビット電池,斎藤 美咲;小林 恵,H01M10/0562;H01M4/525,公開
特願2018-100101,2018/02/12,アルジロダイト型硫化物及びその製造方法,本発明は、アルジロダイト型硫化物に関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,アルジロダイト型硫化物を備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,東都工業大学,井上 直樹;高橋 浩二,C01B17/22;H01M10/0562,登録
特願2018-100860,2018/08/27,拘束圧付与機構及びその製造方法,本発明は、拘束圧付与機構に関する。従来技術では直列積層時の熱分布が不均一になるという課題があった。本発明では、弾性部材を介した均一拘束構造とすることにより、温度分布を均一化し寿命を延ばす。これにより全固体リチウムイオン二次電池の実用化に寄与する。,拘束圧付与機構を備え、弾性部材を介した均一拘束構造とすることを特徴とする全固体電池。,白鳳電機産業,伊藤 拓也;渡辺 望;加藤 拓也,H01M10/613;H01M50/509,取下
特願2018-100035,2018/12/28,硫化物系固体電解質及びその製造方法,本発明は、硫化物系固体電解質に関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,硫化物系固体電解質を備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,みなと化学工業,松本 静香,C01B17/22;H01M10/0562,登録
特願2016-100369,2016/07/26,ポリエチレンオキシド系ポリマー電解質を用いた全固体電池,本発明は、ポリエチレンオキシド系ポリマー電解質に関する。従来技術では機械的強度と柔軟性の両立が難しいという課題があった。本発明では、紫外線架橋により三次元網目構造を形成することにより、柔軟性と伝導度を両立する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ポリエチレンオキシド系ポリマー電解質を備え、紫外線架橋により三次元網目構造を形成することを特徴とする全固体電池。,燕岳鉱業,清水 彩,H01B1/12,登録
特願2025-100552,2025/09/27,リチウム金属負極を用いた全固体電池,本発明は、リチウム金属負極に関する。従来技術では負極と電解質の界面で副反応が進行するという課題があった。本発明では、集電体表面に親リチウム性シード層を設けることにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム金属負極を備え、集電体表面に親リチウム性シード層を設けることを特徴とする全固体電池。,白鳳電機産業,鈴木 望;高橋 直樹;鈴木 拓也,H01M10/052,公開
特願2021-100617,2021/04/05,リチウム合金負極及びその製造方法,本発明は、リチウム合金負極に関する。従来技術では負極と電解質の界面で副反応が進行するという課題があった。本発明では、固体電解質との界面に緩衝層を挿入することにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム合金負極を備え、固体電解質との界面に緩衝層を挿入することを特徴とする全固体電池。,白鳳電機産業,森 大輔;山口 望;鈴木 由美,H01M10/052;H01M4/38,審査中
特願2023-100608,2023/05/12,リチウム合金負極及びその製造方法,本発明は、リチウム合金負極に関する。従来技術ではリチウムの不均一析出で容量が劣化するという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム合金負極を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,白鳳電機産業,吉田 隆;林 修平,H01M10/052;H01M4/134,公開
特願2017-100701,2017/09/08,加圧焼結積層工程及びその製造方法,本発明は、加圧焼結積層工程に関する。従来技術では大面積化すると均一な加圧が難しいという課題があった。本発明では、等方加圧により積層界面を密着させることにより、製造コストを削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,加圧焼結積層工程を備え、等方加圧により積層界面を密着させることを特徴とする全固体電池。,燕岳鉱業,田中 亮;中村 香織,B32B37/00;H01M4/04,登録
特願2022-100298,2022/01/14,ガーネット型LLZO酸化物及びその製造方法,本発明は、ガーネット型LLZO酸化物に関する。従来技術では薄膜化すると機械的強度が不足するという課題があった。本発明では、焼結助剤を添加して低温焼結を可能にすることにより、低温プロセスでの量産性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ガーネット型LLZO酸化物を備え、焼結助剤を添加して低温焼結を可能にすることを特徴とする全固体電池。,燕岳鉱業,山口 望;中村 拓也;斎藤 真一,C04B35/486;H01M10/0562,公開
特願2021-100516,2021/11/21,正極-電解質界面被覆層を用いた全固体電池,本発明は、正極-電解質界面被覆層に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、界面抵抗を低減し出力特性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,正極-電解質界面被覆層を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,東都工業大学,山田 拓也,H01M10/0562;H01M4/62,審査中
特願2024-100925,2024/06/23,無負極型集電体構造及びその製造方法,本発明は、無負極型集電体構造に関する。従来技術では充電時にデンドライトが成長し短絡に至るという課題があった。本発明では、集電体表面に親リチウム性シード層を設けることにより、界面追従性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,無負極型集電体構造を備え、集電体表面に親リチウム性シード層を設けることを特徴とする全固体電池。,蓬莱新能源,加藤 太郎;山本 恵;鈴木 隆,H01M10/052;H01M4/38,公開
特願2022-100588,2022/06/08,リチウム析出制御層を用いた全固体電池,本発明は、リチウム析出制御層に関する。従来技術では充電時にデンドライトが成長し短絡に至るという課題があった。本発明では、集電体表面に親リチウム性シード層を設けることにより、クーロン効率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム析出制御層を備え、集電体表面に親リチウム性シード層を設けることを特徴とする全固体電池。,東雲重工業,斎藤 健一;山口 望;林 花子,H01M4/134;H01M4/38,登録
特願2021-100258,2021/05/10,ペロブスカイト型酸化物電解質を用いた全固体電池,本発明は、ペロブスカイト型酸化物電解質に関する。従来技術では薄膜化すると機械的強度が不足するという課題があった。本発明では、粒界に非晶質層を導入することにより、粒界抵抗を低減し伝導度を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ペロブスカイト型酸化物電解質を備え、粒界に非晶質層を導入することを特徴とする全固体電池。,常盤田精機,清水 静香;佐藤 大輔;田中 香織,C04B35/486;H01M10/0562,登録
特願2015-100167,2015/03/28,Li6PS5Cl固体電解質及びその製造方法,本発明は、Li6PS5Cl固体電解質に関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,九曜電子,高橋 拓也;木村 望,H01B1/06;H01M10/0562,拒絶
特願2021-100597,2021/03/21,リチウム析出制御層を用いた全固体電池,本発明は、リチウム析出制御層に関する。従来技術では負極と電解質の界面で副反応が進行するという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム析出制御層を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,白鳳電機産業,斎藤 直樹,H01M10/052,審査中
特願2024-100911,2024/09/14,乾式電極成形プロセス及びその製造方法,本発明は、乾式電極成形プロセスに関する。従来技術では積層時に層間に空隙が残り抵抗が増えるという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、温度分布を均一化し寿命を延ばす。これにより全固体リチウムイオン二次電池の実用化に寄与する。,乾式電極成形プロセスを備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,桔梗精密,山田 美咲;鈴木 拓也;田中 修平,H01M10/0585;H01M4/04,審査中
特願2019-100426,2019/08/24,NCM系正極と固体電解質の複合体を用いた全固体電池,本発明は、NCM系正極と固体電解質の複合体に関する。従来技術では充放電に伴う体積変化で界面が剥離するという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、界面抵抗を低減し出力特性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NCM系正極と固体電解質の複合体を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,蒼海自動車,林 望;高橋 美咲;佐藤 亮,H01M10/0562;H01M4/525,拒絶
特願2023-100921,2023/04/01,積層セルパッケージを用いた全固体電池,本発明は、積層セルパッケージに関する。従来技術ではセル拘束圧の維持と軽量化が両立しないという課題があった。本発明では、弾性部材を介した均一拘束構造とすることにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,積層セルパッケージを備え、弾性部材を介した均一拘束構造とすることを特徴とする全固体電池。,燕岳鉱業,井上 誠;小林 裕子;加藤 大輔,H01M50/20,登録
特願2019-100022,2019/05/09,Li2S-P2S5系ガラスセラミックス及びその製造方法,本発明は、Li2S-P2S5系ガラスセラミックスに関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li2S-P2S5系ガラスセラミックスを備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,暁化成,木村 望;松本 拓也,C01B17/22,登録
特願2023-100897,2023/02/17,積層セルパッケージを用いた全固体電池,本発明は、積層セルパッケージに関する。従来技術では直列積層時の熱分布が不均一になるという課題があった。本発明では、弾性部材を介した均一拘束構造とすることにより、クーロン効率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,積層セルパッケージを備え、弾性部材を介した均一拘束構造とすることを特徴とする全固体電池。,みなと化学工業,木村 健一;清水 彩;中村 彩,H01M10/613;H01M50/509,公開
特願2022-100899,2022/02/23,ペロブスカイト型酸化物電解質及びその製造方法,本発明は、ペロブスカイト型酸化物電解質に関する。従来技術では焼結温度が高くエネルギーコストが大きいという課題があった。本発明では、焼結助剤を添加して低温焼結を可能にすることにより、製造コストを削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ペロブスカイト型酸化物電解質を備え、焼結助剤を添加して低温焼結を可能にすることを特徴とする全固体電池。,燕岳鉱業,伊藤 太郎;木村 花子;鈴木 真一,H01B1/08,公開
特願2015-100338,2015/04/16,リチウム塩含有ポリマー膜及びその製造方法,本発明は、リチウム塩含有ポリマー膜に関する。従来技術では電位窓が狭く高電圧正極に適用できないという課題があった。本発明では、紫外線架橋により三次元網目構造を形成することにより、薄膜大面積化を容易にする。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム塩含有ポリマー膜を備え、紫外線架橋により三次元網目構造を形成することを特徴とする全固体電池。,暁化成,吉田 花子;鈴木 亮;清水 香織,C08J5/22,拒絶
特願2025-100601,2025/08/23,リチウム合金負極及びその製造方法,本発明は、リチウム合金負極に関する。従来技術では充電時にデンドライトが成長し短絡に至るという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、クーロン効率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム合金負極を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,白鳳電機産業,高橋 太郎;渡辺 亮;井上 真一,H01M10/052;H01M4/38,拒絶
特願2016-100823,2016/03/08,電池モジュール筐体及びその製造方法,本発明は、電池モジュール筐体に関する。従来技術では端子部の接触抵抗が大きいという課題があった。本発明では、弾性部材を介した均一拘束構造とすることにより、体積エネルギー密度を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,電池モジュール筐体を備え、弾性部材を介した均一拘束構造とすることを特徴とする全固体電池。,蒼海自動車,山田 花子,H01M50/20,登録
特願2020-100563,2020/04/11,無負極型集電体構造及びその製造方法,本発明は、無負極型集電体構造に関する。従来技術では充電時にデンドライトが成長し短絡に至るという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、クーロン効率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,無負極型集電体構造を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,蒼海自動車,松本 亮;山田 由美;渡辺 恵,H01M10/052;H01M4/134,登録
特願2019-100250,2019/08/04,ガーネット型LLZO酸化物及びその製造方法,本発明は、ガーネット型LLZO酸化物に関する。従来技術ではリチウムデンドライトが粒界を伝播するという課題があった。本発明では、テープ成形により薄膜シート化することにより、粒界抵抗を低減し伝導度を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ガーネット型LLZO酸化物を備え、テープ成形により薄膜シート化することを特徴とする全固体電池。,常盤田精機,高橋 望;鈴木 亮,C04B35/486,登録
特願2017-100950,2017/11/06,Li6PS5Cl固体電解質及びその製造方法,本発明は、Li6PS5Cl固体電解質に関する。従来技術では電極との界面抵抗が増大するという課題があった。本発明では、ガラスセラミックス化の熱処理条件を最適化することにより、エネルギー密度を大幅に向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、ガラスセラミックス化の熱処理条件を最適化することを特徴とする全固体電池。,九曜電子,清水 香織;斎藤 真一,C01B17/22;H01M10/0562,取下
特願2025-100507,2025/08/01,複合正極合材を用いた全固体電池,本発明は、複合正極合材に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、界面抵抗を低減し出力特性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,複合正極合材を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,ハンビット電池,加藤 恵;山田 太郎;加藤 太郎,H01M4/525,公開
特願2023-100757,2023/05/12,加圧焼結積層工程及びその製造方法,本発明は、加圧焼結積層工程に関する。従来技術では大面積化すると均一な加圧が難しいという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,加圧焼結積層工程を備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,桔梗精密,伊藤 大輔,H01M10/0585;H01M4/04,審査中
特願2017-100313,2017/08/07,ポリエチレンオキシド系ポリマー電解質及びその製造方法,本発明は、ポリエチレンオキシド系ポリマー電解質に関する。従来技術では電位窓が狭く高電圧正極に適用できないという課題があった。本発明では、可塑剤と無機フィラーを複合化することにより、薄膜大面積化を容易にする。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ポリエチレンオキシド系ポリマー電解質を備え、可塑剤と無機フィラーを複合化することを特徴とする全固体電池。,汐留マテリアル,斎藤 健一;吉田 浩二,H01B1/12;H01M10/0565,登録
特願2018-100958,2018/06/04,架橋ゲルポリマー電解質及びその製造方法,本発明は、架橋ゲルポリマー電解質に関する。従来技術では機械的強度と柔軟性の両立が難しいという課題があった。本発明では、可塑剤と無機フィラーを複合化することにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,架橋ゲルポリマー電解質を備え、可塑剤と無機フィラーを複合化することを特徴とする全固体電池。,九曜電子,加藤 亮;木村 美咲;森 隆,C08J5/22,登録
特願2025-100923,2025/05/09,積層セルパッケージ及びその製造方法,本発明は、積層セルパッケージに関する。従来技術では直列積層時の熱分布が不均一になるという課題があった。本発明では、バイポーラ集電体で直列接続を内蔵化することにより、サイクル後の容量維持率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,積層セルパッケージを備え、バイポーラ集電体で直列接続を内蔵化することを特徴とする全固体電池。,みなと化学工業,小林 大輔;清水 浩二,H01M10/613;H01M50/20,登録
特願2023-100699,2023/11/24,乾式電極成形プロセスを用いた全固体電池,本発明は、乾式電極成形プロセスに関する。従来技術では積層時に層間に空隙が残り抵抗が増えるという課題があった。本発明では、乾式成膜により無溶媒で電極層を形成することにより、製造コストを削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,乾式電極成形プロセスを備え、乾式成膜により無溶媒で電極層を形成することを特徴とする全固体電池。,常盤田精機,高橋 誠,B32B37/00;H01M4/04,審査中
特願2023-100578,2023/05/11,リチウム金属負極及びその製造方法,本発明は、リチウム金属負極に関する。従来技術では充電時にデンドライトが成長し短絡に至るという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム金属負極を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,白鳳電機産業,佐藤 拓也;中村 浩二,H01M4/134,登録
特願2021-100109,2021/02/10,Li6PS5Cl固体電解質及びその製造方法,本発明は、Li6PS5Cl固体電解質に関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、ハロゲン元素を部分置換した組成とすることにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、ハロゲン元素を部分置換した組成とすることを特徴とする全固体電池。,九曜電子,高橋 彩;林 隆,C01B17/22;H01M10/0562,登録
特願2017-100579,2017/12/19,リチウム析出制御層を用いた全固体電池,本発明は、リチウム析出制御層に関する。従来技術ではリチウムの不均一析出で容量が劣化するという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム析出制御層を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,葵テクノロジーズ,田中 静香;中村 拓也;渡辺 裕子,H01M10/052,登録
特願2025-100892,2025/03/26,ニオブ酸リチウム被覆正極活物質及びその製造方法,本発明は、ニオブ酸リチウム被覆正極活物質に関する。従来技術では正極活物質と硫化物電解質の界面で高抵抗層が形成されるという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ニオブ酸リチウム被覆正極活物質を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,みなと化学工業,佐藤 美咲,H01M10/0562;H01M4/62,公開
特願2022-100403,2022/04/04,ニオブ酸リチウム被覆正極活物質及びその製造方法,本発明は、ニオブ酸リチウム被覆正極活物質に関する。従来技術では正極活物質と硫化物電解質の界面で高抵抗層が形成されるという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、電極内の利用率を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ニオブ酸リチウム被覆正極活物質を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,蓬莱新能源,井上 香織;佐藤 亮,H01M10/0562;H01M4/525,審査中
特願2019-100265,2019/04/20,酸化物系固体電解質焼結体及びその製造方法,本発明は、酸化物系固体電解質焼結体に関する。従来技術では薄膜化すると機械的強度が不足するという課題があった。本発明では、ドーパント元素で結晶構造を安定化することにより、デンドライト耐性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,酸化物系固体電解質焼結体を備え、ドーパント元素で結晶構造を安定化することを特徴とする全固体電池。,白鳳電機産業,山口 隆,H01M10/0562,公開
特願2019-100376,2019/05/09,ポリエチレンオキシド系ポリマー電解質及びその製造方法,本発明は、ポリエチレンオキシド系ポリマー電解質に関する。従来技術では機械的強度と柔軟性の両立が難しいという課題があった。本発明では、可塑剤と無機フィラーを複合化することにより、柔軟性と伝導度を両立する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ポリエチレンオキシド系ポリマー電解質を備え、可塑剤と無機フィラーを複合化することを特徴とする全固体電池。,ソルグリーンエナジー,鈴木 亮;伊藤 真一;井上 静香,H01B1/12,登録
特願2024-100918,2024/02/28,有機無機ハイブリッド電解質膜を用いた全固体電池,本発明は、有機無機ハイブリッド電解質膜に関する。従来技術では電位窓が狭く高電圧正極に適用できないという課題があった。本発明では、可塑剤と無機フィラーを複合化することにより、クーロン効率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,有機無機ハイブリッド電解質膜を備え、可塑剤と無機フィラーを複合化することを特徴とする全固体電池。,九曜電子,松本 大輔,C08J5/22;H01M10/0565,審査中
特願2022-100017,2022/08/17,Li2S-P2S5系ガラスセラミックス及びその製造方法,本発明は、Li2S-P2S5系ガラスセラミックスに関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、ガラスセラミックス化の熱処理条件を最適化することにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li2S-P2S5系ガラスセラミックスを備え、ガラスセラミックス化の熱処理条件を最適化することを特徴とする全固体電池。,みなと化学工業,鈴木 望;山田 由美,H01B1/06;H01M10/0562,公開
特願2020-100631,2020/03/19,リチウム合金負極及びその製造方法,本発明は、リチウム合金負極に関する。従来技術では負極と電解質の界面で副反応が進行するという課題があった。本発明では、固体電解質との界面に緩衝層を挿入することにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム合金負極を備え、固体電解質との界面に緩衝層を挿入することを特徴とする全固体電池。,蒼海自動車,林 亮;佐藤 健一;伊藤 香織,H01M4/134;H01M4/38,拒絶
特願2018-100031,2018/05/14,Li6PS5Cl固体電解質及びその製造方法,本発明は、Li6PS5Cl固体電解質に関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、ガラスセラミックス化の熱処理条件を最適化することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、ガラスセラミックス化の熱処理条件を最適化することを特徴とする全固体電池。,みなと化学工業,小林 裕子;中村 花子,H01M10/0562,取下
特願2018-100628,2018/07/14,リチウム合金負極及びその製造方法,本発明は、リチウム合金負極に関する。従来技術では充電時にデンドライトが成長し短絡に至るという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、エネルギー密度を大幅に向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム合金負極を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,蒼海自動車,山口 静香,H01M10/052;H01M4/38,登録
特願2020-100883,2020/11/18,無負極型集電体構造及びその製造方法,本発明は、無負極型集電体構造に関する。従来技術では充電時にデンドライトが成長し短絡に至るという課題があった。本発明では、固体電解質との界面に緩衝層を挿入することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,無負極型集電体構造を備え、固体電解質との界面に緩衝層を挿入することを特徴とする全固体電池。,ハンビット電池,鈴木 由美;小林 浩二;中村 恵,H01M4/134;H01M4/38,審査中
特願2020-100214,2020/02/25,ガーネット型LLZO酸化物及びその製造方法,本発明は、ガーネット型LLZO酸化物に関する。従来技術では焼結温度が高くエネルギーコストが大きいという課題があった。本発明では、ドーパント元素で結晶構造を安定化することにより、デンドライト耐性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ガーネット型LLZO酸化物を備え、ドーパント元素で結晶構造を安定化することを特徴とする全固体電池。,白鳳電機産業,林 浩二;山本 直樹,C04B35/486,取下
特願2020-100209,2020/10/25,NASICON型リン酸系酸化物及びその製造方法,本発明は、NASICON型リン酸系酸化物に関する。従来技術ではリチウムデンドライトが粒界を伝播するという課題があった。本発明では、ドーパント元素で結晶構造を安定化することにより、粒界抵抗を低減し伝導度を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NASICON型リン酸系酸化物を備え、ドーパント元素で結晶構造を安定化することを特徴とする全固体電池。,蒼海自動車,田中 健一;斎藤 裕子;木村 真一,H01B1/08;H01M10/0562,拒絶
特願2017-100102,2017/11/24,Li6PS5Cl固体電解質を用いた全固体電池,本発明は、Li6PS5Cl固体電解質に関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,みなと化学工業,山田 静香;小林 太郎,C01B17/22;H01M10/0562,登録
